city,observed_at,collected_at_utc,latitude,longitude,temperature_2m,temperature_unit,precipitation,precipitation_unit,weather_code
진주,2026-08-27T10:30,2026-08-27T01:41:27.3235849Z,35.2,128.0625,29.5,°C,0.00,mm,1
대구,2026-08-27T10:30,2026-08-27T01:41:27.3235849Z,35.85,128.5625,27.9,°C,0.00,mm,2
진주,2026-08-27T11:00,2026-08-27T02:10:34.134343+00:00,35.2,128.0625,29.9,°C,0.0,mm,1
대구,2026-08-27T11:00,2026-08-27T02:10:34.794535+00:00,35.85,128.5625,28.6,°C,0.0,mm,2
진주,2026-08-27T11:00,2026-08-27T02:13:48.992942+00:00,35.2,128.0625,29.9,°C,0.0,mm,1
대구,2026-08-27T11:00,2026-08-27T02:13:49.608569+00:00,35.85,128.5625,28.6,°C,0.0,mm,2
진주,2026-08-29T06:45,2026-08-28T21:51:52.838068+00:00,35.2,128.0625,25.7,°C,0.0,mm,1
대구,2026-08-29T06:45,2026-08-28T21:51:53.241938+00:00,35.85,128.5625,23.6,°C,0.0,mm,1
진주,2026-08-29T09:00,2026-08-29T00:07:37.432267+00:00,35.2,128.0625,28.6,°C,0.0,mm,0
대구,2026-08-29T09:00,2026-08-29T00:07:37.911034+00:00,35.85,128.5625,27.1,°C,0.0,mm,1
진주,2026-08-30T09:00,2026-08-30T00:09:13.670671+00:00,35.2,128.0625,26.6,°C,0.0,mm,1
대구,2026-08-30T09:00,2026-08-30T00:09:14.300704+00:00,35.85,128.5625,26.6,°C,0.0,mm,1
진주,2026-08-31T09:00,2026-08-31T00:09:29.704879+00:00,35.2,128.0625,28.1,°C,0.0,mm,1
대구,2026-08-31T09:00,2026-08-31T00:09:30.230378+00:00,35.85,128.5625,28.6,°C,0.0,mm,0
진주,2026-09-01T09:15,2026-09-01T00:22:28.014685+00:00,35.2,128.0625,27.4,°C,0.0,mm,1
대구,2026-09-01T09:15,2026-09-01T00:22:28.554965+00:00,35.85,128.5625,28.4,°C,0.0,mm,1
